code,name,name_kana,change_date,abolish_date,end_date
810000001,(フリーコメント),(フリーコメント),20200401,99999999,
820000001,別途コメントあり,ベットコメントアリ,20200401,99999999,
820000002,自費から,ジヒカラ,20200401,99999999,
820000003,集団検診から,シュウダンケンシンカラ,20200401,99999999,
820000004,後期高齢者検診から,コウキコウレイシャケンシンカラ,20200401,99999999,
820000005,学校検診から,ガッコウケンシンカラ,20200401,99999999,
820000006,健康診断から,ケンコウシンダンカラ,20200401,99999999,
820000009,分院にて請求済み,ブンインニテセイキュウズミ,20200401,99999999,
820000010,本院にて請求済み,ホンインニテセイキュウズミ,20200401,99999999,
820000011,他科にて請求済み,タカニテセイキュウズミ,20200401,99999999,
820000012,労災入院中,ロウサイニュウインチュウ,20200401,99999999,
820000013,自費入院中,ジヒニュウインチュウ,20200401,99999999,
820000014,生活保護受給者,セイカツホゴジュキュウシャ,20200401,99999999,
820000015,免税者,メンゼイシャ,20200401,99999999,
820000016,外国人,ガイコクジン,20200401,99999999,
820000017,国保未加入,コクホミカニュウ,20200401,99999999,
820000018,自費,ジヒ,20200401,99999999,
820000019,社会保険併用（本人）,シャカイホケンヘイヨウ,20200401,99999999,
820000020,社会保険併用（家族）,シャカイホケンヘイヨウ,20200401,99999999,
820000021,第三者行為,ダイサンシャコウイ,20200401,99999999,
820000022,交通事故,コウツウジコ,20200401,99999999,
820000023,月遅れ請求分,ツキオクレセイキュウブン,20200401,99999999,
820000033,未来院請求後,ミライインセイキュウゴ,20200401,99999999,
820000035,他保険にて請求済み,タホケンニテセイキュウズミ,20200401,99999999,
820000036,他保険者にて請求済み,タホケンシャニテセイキュウズミ,20200401,99999999,
820000037,自己注射に用いる注射薬投与,ジコチュウシャニモチイルチュウシャヤク,20200401,99999999,
820000038,自己連続携行式腹膜灌流に用いる注射薬投与,ジコレンゾクケイコウシキフクマクカン,20200401,99999999,
820000039,在宅中心静脈栄養法に用いる注射薬投与,ザイタクチュウシンジョウミャクエイヨ,20200401,99999999,
820000042,新規指定,シンキシテイ,20200401,99999999,
820000046,（サ）,サ,20200401,99999999,
820000047,（減）,ゲン,20200401,99999999,
820000050,（介）,カイ,20200401,99999999,
820000053,（検選）,ケンセン,20200401,99999999,
820000054,（リハ選）,リハセン,20200401,99999999,
820000055,（精選）,セイセン,20200401,99999999,
820000056,画診共同,ガシンキョウドウ,20200401,99999999,
820000094,（薬評）,ヤクヒョウ,20200401,99999999,
820000095,（器評）,キヒョウ,20200401,99999999,
820000096,　１　２４時間持続して点滴を実施,24ジカンジゾクシテテンテキヲジ,20200401,99999999,
820000097,　２　尿路感染症に対する治療を実施,ニョウロカンセンショウニタイスルチリョウ,20200401,99999999,
820000098,　３　傷病等によりリハビリテーションが必要な状態,ショウビョウトウニヨリリハビリテーシ,20200401,99999999,
820000099,　４　８１、かつ、８３,81カツ83,20200401,99999999,
820000100,　５　消化管等の体内からの出血が反復継続,ショウカカントウノタイナイカラノシュッケ,20200401,99999999,
820000101,　６　８２、かつ、８３,82カツ83,20200401,99999999,
820000102,　７　せん妄に対する治療を実施,センモウニタイスルチリョウヲジッシ,20200401,99999999,
820000103,　８　８４、かつ、８２又は８３,84カツ82マタハ83,20200401,99999999,
820000104,　９　頻回の血糖検査を実施,ヒンカイノケットウケンサヲジッシ,20200401,99999999,
820000105,１０　スモン,スモン,20200401,99999999,
820000106,１１　重度の肢体不自由児（者）等（障害者施設等入院基本料）等,ジュウドノシタイフジユウジトウ,20200401,99999999,
820000107,１２　８６に該当、かつ、１〜３８（１２を除く。）に１項目以上該当,86ニガイトウカツ1カラ38ニ1コウモ,20200401,99999999,
820000108,１３　中心静脈栄養を実施,チュウシンジョウミャクエイヨウヲジッ,20200401,99999999,
820000109,１４　人工呼吸器を使用,ジンコウコキュウキヲシヨウ,20200401,99999999,
820000110,１５　ドレーン法又は胸腔若しくは腹腔の洗浄を実施,ドレーンホウマタハキョウクウモシクハフ,20200401,99999999,
820000111,１６　８５、かつ、８３,85カツ83,20200401,99999999,
820000113,１８　感染症の治療の必要性から隔離室での管理を実施,カンセンショウノチリョウノヒツヨウセイカ,20200401,99999999,
820000115,２０　多発性硬化症,タハツセイコウカショウ,20200401,99999999,
820000116,２１　筋萎縮性側索硬化症,キンイシュクセイソクサクコウカショウ,20200401,99999999,
820000117,２２　パーキンソン病関連疾患,パーキンソンビョウカンレンシッカン,20200401,99999999,
820000119,２４　脊髄損傷,セキズイソンショウ,20200401,99999999,
820000120,２５　慢性閉塞性肺疾患,マンセイヘイソクセイハイシッカン,20200401,99999999,
820000121,２６　人工腎臓、持続緩徐式血液濾過、腹膜灌流又は血漿交換を実施,ジンコウジンゾウジゾクカンジ,20200401,99999999,
820000122,２７　重度の肢体不自由児（者）等（障害者施設等入院基本料）等,ジュウドノシタイフジユウジトウ,20200401,99999999,
820000123,２８　基本診療料の施設基準等の別表第五の三の三の患者,キホンシンリョウリョウノシセツキジュン,20200401,99999999,
820000124,２９　悪性腫瘍,アクセイシュヨウ,20200401,99999999,
820000125,３０　肺炎に対する治療を実施,ハイエンニタイスルチリョウヲジッシ,20200401,99999999,
820000126,３１　褥瘡に対する治療を実施,ジョクソウニタイスルチリョウヲジッシ,20200401,99999999,
820000127,３２　末梢循環障害による下肢末端の開放創の治療を実施,マッショウジュンカンショウガイニヨル,20200401,99999999,
820000128,３３　うつ症状に対する治療を実施,ウツショウジョウニタイスルチリョウヲシ,20200401,99999999,
820000129,３４　他者に対する暴行が毎日認められる状態,タシャニタイスルボウコウガマイニチミ,20200401,99999999,
820000130,３５　１日８回以上の喀痰吸引を実施,イチニチハチカイイジョウノカクタンキュ,20200401,99999999,
820000131,３６　気管切開又は気管内挿管が行われている状態,キカンセッカイマタハキカンナイソウカンカ,20200401,99999999,
820000132,３７　創傷、皮膚潰瘍又は蜂巣炎、膿等の感染症に対する治療を実施,ソウショウヒフカイヨウマタハホウソウエン,20200401,99999999,
820000139,リソウ,リソウ,20200401,99999999,
820000140,義歯増歯,ギシゾウシ,20200401,99999999,
820000141,１歯分間隙,1シブンカンゲキ,20200401,99999999,
820000143,（障害）,ショウガイ,20200401,99999999,
820000144,入院元　一般病棟（自院以外の急性期病院からの転院）,ニュウインモトイッパンビョウトウ,20200401,99999999,
820000145,入院元　一般病棟（自院の急性期病棟からの転棟）,ニュウインモトイッパンビョウトウ,20200401,99999999,
820000146,入院元　他の病棟（急性期医療を担う保険医療機関の一般病棟以外）,ニュウインモトタノビョウトウ,20200401,99999999,
820000147,入院元　介護老人保健施設,ニュウインモトカイゴロウジンホケンシ,20200401,99999999,
820000148,入院元　特別養護老人ホーム,ニュウインモトトクベツヨウゴロウジ,20200401,99999999,
820000149,入院元　有料老人ホーム等,ニュウインモトユウリョウロウジンホーム,20200401,99999999,
820000150,入院元　自宅,ニュウインモトジタク,20200401,99999999,
820000151,退院先　一般病棟（急性期病棟への転院・転棟）,タイインサキイッパンビョウトウ,20200401,99999999,
820000152,退院先　他の病棟（急性期医療を担う保険医療機関の一般病棟以外）,タイインサキタノビョウトウ,20200401,99999999,
820000153,退院先　介護老人保健施設,タイインサキカイゴロウジンホケンシセ,20200401,99999999,
820000154,退院先　特別養護老人ホーム,タイインサキトクベツヨウゴロウジン,20200401,99999999,
820000155,退院先　有料老人ホーム等,タイインサキユウリョウロウジンホームト,20200401,99999999,
820000156,退院先　自宅,タイインサキジタク,20200401,99999999,
820000157,退院先　死亡,タイインサキシボウ,20200401,99999999,
820000160,９１　身体抑制を実施している,シンタイヨクセイヲジッシシテイル,20200401,99999999,
820000166,（精減）,セイゲン,20200401,99999999,
820000171,（加評）,カヒョウ,20200401,99999999,
820000172,ファイバーポスト,ファイバーポスト,20200401,99999999,
820000173,ＡＤＬ合計得点　　０点,ADLゴウケイトクテン0テン,20200401,99999999,
820000174,ＡＤＬ合計得点　　１点,ADLゴウケイトクテン1テン,20200401,99999999,
820000175,ＡＤＬ合計得点　　２点,ADLゴウケイトクテン2テン,20200401,99999999,
820000176,ＡＤＬ合計得点　　３点,ADLゴウケイトクテン3テン,20200401,99999999,
820000177,ＡＤＬ合計得点　　４点,ADLゴウケイトクテン4テン,20200401,99999999,
820000178,ＡＤＬ合計得点　　５点,ADLゴウケイトクテン5テン,20200401,99999999,
820000179,ＡＤＬ合計得点　　６点,ADLゴウケイトクテン6テン,20200401,99999999,
820000180,ＡＤＬ合計得点　　７点,ADLゴウケイトクテン7テン,20200401,99999999,
820000181,ＡＤＬ合計得点　　８点,ADLゴウケイトクテン8テン,20200401,99999999,
820000182,ＡＤＬ合計得点　　９点,ADLゴウケイトクテン9テン,20200401,99999999,
820000183,ＡＤＬ合計得点　１０点,ADLゴウケイトクテン10テン,20200401,99999999,
820000184,ＡＤＬ合計得点　１１点,ADLゴウケイトクテン11テン,20200401,99999999,
820000185,ＡＤＬ合計得点　１２点,ADLゴウケイトクテン12テン,20200401,99999999,
820000186,ＡＤＬ合計得点　１３点,ADLゴウケイトクテン13テン,20200401,99999999,
820000187,ＡＤＬ合計得点　１４点,ADLゴウケイトクテン14テン,20200401,99999999,
820000188,ＡＤＬ合計得点　１５点,ADLゴウケイトクテン15テン,20200401,99999999,
820000189,ＡＤＬ合計得点　１６点,ADLゴウケイトクテン16テン,20200401,99999999,
820000190,ＡＤＬ合計得点　１７点,ADLゴウケイトクテン17テン,20200401,99999999,
820000191,ＡＤＬ合計得点　１８点,ADLゴウケイトクテン18テン,20200401,99999999,
820000192,ＡＤＬ合計得点　１９点,ADLゴウケイトクテン19テン,20200401,99999999,
820000193,ＡＤＬ合計得点　２０点,ADLゴウケイトクテン20テン,20200401,99999999,
820000194,ＡＤＬ合計得点　２１点,ADLゴウケイトクテン21テン,20200401,99999999,
820000195,ＡＤＬ合計得点　２２点,ADLゴウケイトクテン22テン,20200401,99999999,
820000196,ＡＤＬ合計得点　２３点,ADLゴウケイトクテン23テン,20200401,99999999,
820000197,ＡＤＬ合計得点　２４点,ADLゴウケイトクテン24テン,20200401,99999999,
820000198,ＡＤＬａ　ベッド上の可動性　０点,ADLaベットジョウノカドウセイ0,20200401,99999999,
820000199,ＡＤＬａ　ベッド上の可動性　１点,ADLaベットジョウノカドウセイ1,20200401,99999999,
820000200,ＡＤＬａ　ベッド上の可動性　２点,ADLaベットジョウノカドウセイ2,20200401,99999999,
820000201,ＡＤＬａ　ベッド上の可動性　３点,ADLaベットジョウノカドウセイ3,20200401,99999999,
820000202,ＡＤＬａ　ベッド上の可動性　４点,ADLaベットジョウノカドウセイ4,20200401,99999999,
820000203,ＡＤＬａ　ベッド上の可動性　５点,ADLaベットジョウノカドウセイ5,20200401,99999999,
820000204,ＡＤＬａ　ベッド上の可動性　６点,ADLaベットジョウノカドウセイ6,20200401,99999999,
820000205,ＡＤＬｂ　移乗　０点,ADLbイジョウ0テン,20200401,99999999,
820000206,ＡＤＬｂ　移乗　１点,ADLbイジョウ1テン,20200401,99999999,
820000207,ＡＤＬｂ　移乗　２点,ADLbイジョウ2テン,20200401,99999999,
820000208,ＡＤＬｂ　移乗　３点,ADLbイジョウ3テン,20200401,99999999,
820000209,ＡＤＬｂ　移乗　４点,ADLbイジョウ4テン,20200401,99999999,
820000210,ＡＤＬｂ　移乗　５点,ADLbイジョウ5テン,20200401,99999999,
820000211,ＡＤＬｂ　移乗　６点,ADLbイジョウ6テン,20200401,99999999,
820000212,ＡＤＬｃ　食事　０点,ADLcショクジ0テン,20200401,99999999,
820000213,ＡＤＬｃ　食事　１点,ADLcショクジ1テン,20200401,99999999,
820000214,ＡＤＬｃ　食事　２点,ADLcショクジ2テン,20200401,99999999,
820000215,ＡＤＬｃ　食事　３点,ADLcショクジ3テン,20200401,99999999,
820000216,ＡＤＬｃ　食事　４点,ADLcショクジ4テン,20200401,99999999,
820000217,ＡＤＬｃ　食事　５点,ADLcショクジ5テン,20200401,99999999,
820000218,ＡＤＬｃ　食事　６点,ADLcショクジ6テン,20200401,99999999,
820000219,ＡＤＬｄ　トイレの使用　０点,ADLdトイレノシヨウ0テン,20200401,99999999,
820000220,ＡＤＬｄ　トイレの使用　１点,ADLdトイレノシヨウ1テン,20200401,99999999,
820000221,ＡＤＬｄ　トイレの使用　２点,ADLdトイレノシヨウ2テン,20200401,99999999,
820000222,ＡＤＬｄ　トイレの使用　３点,ADLdトイレノシヨウ3テン,20200401,99999999,
820000223,ＡＤＬｄ　トイレの使用　４点,ADLdトイレノシヨウ4テン,20200401,99999999,
820000224,ＡＤＬｄ　トイレの使用　５点,ADLdトイレノシヨウ5テン,20200401,99999999,
820000225,ＡＤＬｄ　トイレの使用　６点,ADLdトイレノシヨウ6テン,20200401,99999999,
820000226,（体評）,タイヒョウ,20200401,99999999,
820000229,１７　酸素療法を実施（密度の高い治療を要する状態）,サンソリョウホウヲジッシ,20200401,99999999,
820000230,１９　筋ジストロフィー,キンジストロフィー,20200401,99999999,
820000231,２３　その他の指定難病等（スモン、筋ジストロフィー等を除く）,ソノタノシテイナンビョウトウ,20200401,99999999,
820000232,３８　酸素療法を実施（密度の高い治療を要する状態を除く）,サンソリョウホウヲジッシ,20200401,99999999,
820000233,８１　脱水に対する治療を実施している状態,ダッスイニタイスルチリョウヲジッシシ,20200401,99999999,
820000234,８２　頻回の嘔吐に対する治療をしている状態,ヒンカイノオウトニタイスルチリョウヲシテ,20200401,99999999,
820000235,８３　発熱がある状態,ハツネツガアルジョウタイ,20200401,99999999,
820000236,８４　経鼻胃管や胃瘻等の経腸栄養が行われている状態,ケイビイカンヤイロウトウノケイチョウエ,20200401,99999999,
820000237,８５　気管切開又は気管内挿管が行われている状態,キカンセッカイマタハキカンナイソウカンカ,20200401,99999999,
820000238,８６　医師及び看護職員により、常時、監視・管理を実施している状態,イシオヨビカンゴショクインニヨリジ,20200401,99999999,
820000239,入院元　介護医療院,ニュウインモトカイゴイリョウイン,20200401,99999999,
820000240,退院先　介護医療院,タイインサキカイゴイリョウイン,20200401,99999999,
820000241,３９　８６に該当、かつ、１〜３８（１２を除く。）に該当しない状態,86ニガイトウカツ1カラ38ニガイト,20200401,99999999,
820000242,（請求権消滅レセ）保険者等同意済み,ホケンシャトウドウイズミ,20200401,99999999,
820000243,８７　中心静脈カテーテル関連血流感染症の治療を実施している状態,87チュウシンジョウミャクカテーテルカ,20200401,99999999,
820100001,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,アショシンマタハサイシンジニオコナッタ,20200401,99999999,
820100002,イ　往診等の後に薬剤のみを取りに来院,イオウシントウノアトニヤクザイノミヲト,20200401,99999999,
820100003,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院,ウイッタンキタクシゴコクマタハゴジ,20200401,99999999,
820100005,月の途中まで乳幼児,ツキノトチュウマデニュウヨウジ,20200401,99999999,
820100006,特定疾患療養管理料算定患者,トクテイシッカンリョウヨウカンリリョウサ,20200401,99999999,
820100007,小児科療養指導料算定患者,ショウニカリョウヨウシドウリョウサンテ,20200401,99999999,
820100008,てんかん指導料算定患者,テンカンシドウリョウサンテイカンジャ,20200401,99999999,
820100009,難病外来指導管理料算定患者,ナンビョウガイライシドウカンリリョ,20200401,99999999,
820100010,糖尿病透析予防指導管理料算定患者,トウニョウビョウトウセキヨボウシド,20200401,99999999,
820100011,地域包括診療料算定患者,チイキホウカツシンリョウリョウサンテイカ,20200401,99999999,
820100012,認知症地域包括診療料算定患者,ニンチショウチイキホウカツシンリョウリョ,20200401,99999999,
820100013,生活習慣病管理料算定患者,セイカツシュウカンビョウカンリリョウサ,20200401,99999999,
820100014,在宅時医学総合管理料算定患者,ザイタクジイガクソウゴウカンリリ,20200401,99999999,
820100015,精神科在宅患者支援管理料算定患者,セイシンカザイタクカンジャシエンカン,20200401,99999999,
820100016,ア　吐血、喀血又は重篤な脱水で全身状態不良の状態,アトケツカッケツマタハジュウトクナダ,20200401,99999999,
820100017,イ　意識障害又は昏睡,イイシキショウガイマタハコンスイ,20200401,99999999,
820100018,ウ　呼吸不全又は心不全で重篤な状態,ウコキュウフゼンマタハシンフゼンデ,20200401,99999999,
820100019,エ　急性薬物中毒,エキュウセイヤクブツチュウドク,20200401,99999999,
820100020,オ　ショック,オショック,20200401,99999999,
820100021,カ　重篤な代謝障害（肝不全、腎不全、重症糖尿病等）,カジュウトクナタイシャショウガイ,20200401,99999999,
820100022,キ　広範囲熱傷,キコウハンイネッショウ,20200401,99999999,
820100023,ク　外傷、破傷風等で重篤な状態,クガイショウハショウフウトウデジュ,20200401,99999999,
820100024,ケ　緊急の手術、カテーテル治療等又はｔ−ＰＡ療法を必要とする状態,ケキンキュウノシュジュツカテーテルチリ,20200401,99999999,
820100025,ア　麻疹等に感染しており、他の患者への感染の危険性が高い患者,アマシントウニカンセンシテオリタノカンシ,20200401,99999999,
820100026,イ　易感染性により、感染症罹患の危険性が高い患者,イイカンセンセイニヨリカンセンショウリカ,20200401,99999999,
820100027,出生時体重　１，５００ｇ以上,シュッセイジタイジュウ1500gイシ,20200401,99999999,
820100028,出生時体重　１，０００ｇ以上１，５００ｇ未満,シュッセイジタイジュウ1000gイシ,20200401,99999999,
820100029,出生時体重　１，０００ｇ未満,シュッセイジタイジュウ1000gミマ,20200401,99999999,
820100030,イ　通算対象入院料算定患者以外の患者,イツウサンタイショウニュウインリョウサン,20200401,99999999,
820100031,ロ　難病患者等入院診療加算を算定する患者,ロナンビョウカンジャトウニュウインシ,20200401,99999999,
820100032,ハ　重症者等療養環境特別加算を算定する患者,ハジュウショウシャトウリョウヨウカンキ,20200401,99999999,
820100033,ニ　厚生労働省告示に規定する難病患者等,ニコウセイロウドウショウコクジニキテ,20200401,99999999,
820100034,ホ　悪性新生物に対する腫瘍用薬を投与している状態にある患者,ホアクセイシンセイブツニタイスルシュヨ,20200401,99999999,
